rownames(lipid_standardization_results_omics_attributes_b)	Feature	Main.class	combined_score	Gene	Mean_FC_12_6	Mean_FC_20_6	meta_logFC	node_type_abbrev	Cluster	Condition	Expression_data	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length
232	PHB2	NA	NA	NA	NA	NA	3.20979280149094	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.187283318113636	0.264858608482539	YGR231C	S000003463	ORF	952548	953480	-1	933	VII	ProHiBitin	933
233	PHO86	NA	NA	NA	NA	NA	2.23211131870409	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0862777971831634	0.122015230908105	YJL117W	S000003653	ORF	192531	193466	1	936	X	PHOsphate metabolism	936
234	PIM1	NA	NA	NA	NA	NA	2.24110371932858	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0631436623579891	0.0892986236845756	YBL022C	S000000118	ORF	177874	181275	-1	3402	II	Proteolysis In Mitochondria	3402
235	PKP1	NA	NA	NA	NA	NA	2.80105084520998	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0811871787540748	0.114816009284821	YIL042C	S000001304	ORF	275108	276292	-1	1185	IX	Protein Kinase of PDH	1185
236	PLB2	NA	NA	NA	NA	NA	2.07242716110082	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0209907289733668	0.0296853735982333	YMR006C	S000004608	ORF	277561	279681	-1	2121	XIII	PhosphoLipase B	2121
237	PMT1	NA	NA	NA	NA	NA	2.5294031394644	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0479822826555751	0.0678571948851337	YDL095W	S000002253	ORF	287059	289512	1	2454	IV	Protein O-MannosylTransferase	2454
238	PPX1	NA	NA	NA	NA	NA	2.44580594212447	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.068902603650036	0.0974429965646988	YHR201C	S000001244	ORF	499950	501143	-1	1194	VIII		1194
239	PTC2	NA	NA	NA	NA	NA	3.56292982779225	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	1.32738903738441	1.8772115792144	YER089C	S000000891	ORF	335946	337340	-1	1395	V	Phosphatase Two C	1395
240	PUT1	NA	NA	NA	NA	NA	3.22455824520892	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.219038727516572	0.309767539138881	YLR142W	S000004132	ORF	425186	426616	1	1431	XII	Proline UTilization	1431
241	PXA1	NA	NA	NA	NA	NA	2.34571702165685	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.122057949166682	0.172616007106968	YPL147W	S000006068	ORF	273255	275867	1	2613	XVI	PeroXisomal ABC-transporter	2613
242	PXA2	NA	NA	NA	NA	NA	2.29227531408515	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0739637887089721	0.104600593116726	YKL188C	S000001671	ORF	86225	88786	-1	2562	XI	PeroXisomal ABC-transporter	2562
243	RPL5	NA	NA	NA	NA	NA	3.27883855095373	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.330977202810979	0.468072449051597	YPL131W	S000006052	ORF	303121	304014	1	894	XVI	Ribosomal Protein of the Large subunit	894
244	RRI1	NA	NA	NA	NA	NA	2.13925545162664	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.00374659869526983	0.00529849068761994	YDL216C	S000002375	ORF	68997	70319	-1	1323	IV	Regulator of Rub1 specific Isopeptidase	1323
245	RTN1	NA	NA	NA	NA	NA	2.87156000494014	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0881537318257564	0.124668203121785	YDR233C	S000002641	ORF	929470	930357	-1	888	IV	ReTiculoN-like	888
246	RTT106	NA	NA	NA	NA	NA	2.17495224444793	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0565295961533756	0.0799449215555777	YNL206C	S000005150	ORF	256788	258155	-1	1368	XIV	Regulator of Ty1 Transposition	1368
247	SAH1	NA	NA	NA	NA	NA	4.05857459406878	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.409268335768122	0.578792831093144	YER043C	S000000845	ORF	235770	237119	-1	1350	V	S-Adenosyl-l-Homocysteine hydrolase	1350
248	SBA1	NA	NA	NA	NA	NA	6.04426171449253	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.298794019793184	0.422558555147495	YKL117W	S000001600	ORF	220324	220974	1	651	XI	increased Sensitivity to Benzoquinone Ansamycins	651
249	SCS3	NA	NA	NA	NA	NA	2.5906708586508	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0103566082315485	0.0146464558212407	YGL126W	S000003094	ORF	270997	272139	1	1143	VII	Suppressor of Choline Sensitivity	1143
250	SEC17	NA	NA	NA	NA	NA	3.78117134065255	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.00623388964928884	0.00881605128836153	YBL050W	S000000146	ORF	125125	126119	1	995	II	SECretory	995
251	SEC18	NA	NA	NA	NA	NA	2.44302465325582	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0790738490056211	0.111827309692792	YBR080C	S000000284	ORF	398614	400890	-1	2277	II	SECretory	2277
252	SEC4	NA	NA	NA	NA	NA	3.05885504010985	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.0108910202323964	0.0154022285207348	YFL005W	S000001889	ORF	130334	130981	1	648	VI	SECretory	648
253	SEC7	NA	NA	NA	NA	NA	3.17714345744763	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.0292598739084138	0.0413797105146054	YDR170C	S000002577	ORF	796193	802222	-1	6030	IV	SECretory	6030
254	SGT2	NA	NA	NA	NA	NA	2.12277381013652	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0144589420693648	0.0204480319720626	YOR007C	S000005533	ORF	338938	339978	-1	1041	XV	Small Glutamine-rich Tetratricopeptide repeat-containing protein	1041
255	SHQ1	NA	NA	NA	NA	NA	2.08588805837553	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0539667448989873	0.0763205025532769	YIL104C	S000001366	ORF	169982	171505	-1	1524	IX	Small nucleolar RNAs of the box H/ACA family Quantitative accumulation	1524
256	SNO4	NA	NA	NA	NA	NA	2.9753097907672	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.013581359390731	0.019206942645835	YMR322C	S000004941	ORF	918366	919079	-1	714	XIII	SNZ proximal Open reading frame	714
257	SOD2	NA	NA	NA	NA	NA	2.18688541978077	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.00850198425844972	0.0120236214453822	YHR008C	S000001050	ORF	122889	123590	-1	702	VIII	SuperOxide Dismutase	702
258	SPT4	NA	NA	NA	NA	NA	2.17492146373853	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.11056801307186	0.15636678365087	YGR063C	S000003295	ORF	617516	617824	-1	309	VII	SuPpressor of Ty's	309
259	SSA1	NA	NA	NA	NA	NA	3.60346807592212	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.345904524712967	0.489182870135297	YAL005C	S000000004	ORF	139503	141431	-1	1929	I	Stress-Seventy subfamily A	1929
260	SSA2	NA	NA	NA	NA	NA	2.52706726591924	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.157625720291794	0.222916431415483	YLL024C	S000003947	ORF	95566	97485	-1	1920	XII	Stress-Seventy subfamily A	1920
261	SSA3	NA	NA	NA	NA	NA	3.93133975972033	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.302484131237132	0.427777160798196	YBL075C	S000000171	ORF	84499	86448	-1	1950	II	Stress-Seventy subfamily A	1950
262	SSA4	NA	NA	NA	NA	NA	4.27508788574088	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.387831808053205	0.548477002868521	YER103W	S000000905	ORF	364589	366517	1	1929	V	Stress-Seventy subfamily A	1929
263	SSB2	NA	NA	NA	NA	NA	2.69786451799358	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0218487445965176	0.0308987909292211	YNL209W	S000005153	ORF	252059	253900	1	1842	XIV	Stress-Seventy subfamily B	1842
264	SSZ1	NA	NA	NA	NA	NA	2.93460823706992	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0403717356000124	0.0570942560220782	YHR064C	S000001106	ORF	225525	227141	-1	1617	VIII		1617
265	SUV3	NA	NA	NA	NA	NA	3.71050598177176	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	1.09381277865085	1.54688486626503	YPL029W	S000005950	ORF	495506	497719	1	2214	XVI	SUppressor of Var1	2214
266	SYT1	NA	NA	NA	NA	NA	2.64534240177266	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0186625207726563	0.0263927899847601	YPR095C	S000006299	ORF	721037	724717	-1	3681	XVI	Suppressor of ypt3	3681
267	TAM41	NA	NA	NA	NA	NA	2.3060923433848	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.113808924379901	0.16095012437715	YGR046W	S000003278	ORF	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	1158
268	TAZ1	NA	NA	NA	NA	NA	2.26775018255765	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.159573789822352	0.225671417766044	YPR140W	S000006344	ORF	814391	815536	1	1146	XVI	TAfaZzin	1146
269	TES1	NA	NA	NA	NA	NA	2.31304243101487	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.145030181117809	0.205103649090231	YJR019C	S000003780	ORF	467232	468281	-1	1050	X	ThioESterase	1050
270	TIM12	NA	NA	NA	NA	NA	2.71323653715514	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0359189183528599	0.0507970214803863	YBR091C	S000000295	ORF	427155	427484	-1	330	II	Translocase of the Inner Membrane	330
271	TIM17	NA	NA	NA	NA	NA	2.34529324885634	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.179607141548892	0.254002855477507	YJL143W	S000003679	ORF	147101	147577	1	477	X	Translocase of the Inner Mitochondrial membrane	477
272	TIM54	NA	NA	NA	NA	NA	2.62202015091787	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.185778171853367	0.262730010227911	YJL054W	S000003590	ORF	334265	335701	1	1437	X	Translocase of the Inner Mitochondrial membrane	1437
273	TIM8	NA	NA	NA	NA	NA	2.16402564804133	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0785099789821972	0.11102987705825	YJR135W-A	S000007348	ORF	676971	677234	1	264	X	Translocase of the Inner Mitochondrial membrane	264
274	TIM9	NA	NA	NA	NA	NA	3.56935806198054	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.00922465644459747	0.0130456342521821	YEL020W-A	S000007256	ORF	117211	117474	1	264	V	Translocase of the Inner Mitochondrial membrane	264
275	TMA17	NA	NA	NA	NA	NA	4.42313492999218	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0230294299816793	0.0325685322138125	YDL110C	S000002268	ORF	264512	264964	-1	453	IV	Translation Machinery Associated	453
276	TML25	NA	NA	NA	NA	NA	3.22545564679375	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.359897208488192	0.508971513304219	YLR118C	S000004108	ORF	384725	385408	-1	684	XII	acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa	684
277	TOM6	NA	NA	NA	NA	NA	2.80429318356424	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0598163816181625	0.0845931381364901	YOR045W	S000005571	ORF	413852	414037	1	186	XV	Translocase of the Outer Mitochondrial membrane	186
278	TOM7	NA	NA	NA	NA	NA	2.22888159063238	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0319772026977432	0.0452225937419019	YNL070W	S000005014	ORF	493366	493548	1	183	XIV	Translocase of the Outer Mitochondrial membrane	183
279	TRS120	NA	NA	NA	NA	NA	2.59713229464346	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.0275707685545798	0.0389909548149365	YDR407C	S000002815	ORF	1284069	1287938	-1	3870	IV	TRapp Subunit	3870
280	TSA1	NA	NA	NA	NA	NA	2.52084060871921	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0384861258611835	0.0544276011560836	YML028W	S000004490	ORF	220138	220728	1	591	XIII	Thiol-Specific Antioxidant	591
281	TSC3	NA	NA	NA	NA	NA	3.44272280926656	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.822285527475715	1.16288734509927	YBR058C-A	S000007521	ORF	356324	356566	-1	243	II	Temperature-sensitive Suppressors of Csg2 mutants	243
282	UMP1	NA	NA	NA	NA	NA	2.79977438225291	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.216582758854931	0.306294274948824	YBR173C	S000000377	ORF	581726	582172	-1	447	II	Ubiquitin-Mediated Proteolysis	447
283	UPS1	NA	NA	NA	NA	NA	3.52505318556673	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.176100853439804	0.249044215280047	YLR193C	S000004183	ORF	540009	540536	-1	528	XII	UnProceSsed	528
284	UPS2	NA	NA	NA	NA	NA	3.54025655967655	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.361356887493545	0.5110358111503	YLR168C	S000004158	ORF	499578	500270	-1	693	XII	UnProceSsed	693
285	VPS75	NA	NA	NA	NA	NA	2.09595960781012	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.00780962404281427	0.0110444762383829	YNL246W	S000005190	ORF	185460	186349	1	890	XIV	Vacuolar Protein Sorting	890
286	WHI2	NA	NA	NA	NA	NA	3.50768346751807	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.888563969656958	1.25661921692495	YOR043W	S000005569	ORF	410870	412330	1	1461	XV	WHIskey	1461
287	YAP1	NA	NA	NA	NA	NA	2.15180789228469	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.109167358087861	0.154385958376294	YML007W	S000004466	ORF	253848	255800	1	1953	XIII	Yeast AP-1	1953
288	YDC1	NA	NA	NA	NA	NA	2.82171955411297	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0117737605639456	0.0166506118696654	YPL087W	S000006008	ORF	383455	384408	1	954	XVI	Yeast DihydroCeramidase	954
289	YFH1	NA	NA	NA	NA	NA	2.63475950264186	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.408912155782973	0.5782891165275	YDL120W	S000002278	ORF	245923	246447	1	525	IV	Yeast Frataxin Homolog	525
290	YHB1	NA	NA	NA	NA	NA	3.38809762388257	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0309583201145935	0.043781676174346	YGR234W	S000003466	ORF	959904	961103	1	1200	VII	Yeast flavoHemogloBin	1200
291	YME1	NA	NA	NA	NA	NA	3.0252055541654	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0967223441359888	0.136786050861633	YPR024W	S000006228	ORF	610481	612724	1	2244	XVI	Yeast Mitochondrial Escape	2244
292	YOS9	NA	NA	NA	NA	NA	2.21661760480324	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.174471702633039	0.246740248113969	YDR057W	S000002464	ORF	565927	567555	1	1629	IV	Yeast OS-9 homolog	1629
293	YPT1	NA	NA	NA	NA	NA	3.31045689650816	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.153457942604585	0.217022303685276	YFL038C	S000001856	ORF	55366	55986	-1	621	VI	Yeast Protein Two	621
294	YPT31	NA	NA	NA	NA	NA	4.07488462333903	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.145259389739355	0.205427799031435	YER031C	S000000833	ORF	214076	214747	-1	672	V	Yeast Protein Two	672
295	YPT52	NA	NA	NA	NA	NA	2.24482856728906	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.118492298852115	0.167573416073427	YKR014C	S000001722	ORF	465367	466071	-1	705	XI	Yeast Protein Two	705
296	YPT6	NA	NA	NA	NA	NA	2.288578041431	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.17171848183174	0.242846605916564	YLR262C	S000004252	ORF	668244	668891	-1	648	XII	Yeast Protein Two	648
297	ZIM17	NA	NA	NA	NA	NA	2.74503419937628	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.43668737083952	0.617569202358298	YNL310C	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525
